"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"award","award received","diploma","http://www.wikidata.org/entity/Q189533","Award","In 1900, Einstein passed the exams in Maths and Physics and was awarded a Federal teaching diploma."
"maureen molloy","http://www.wikidata.org/entity/Q98381520","Person",NULL,"award","award received","master of psychology","http://www.wikidata.org/entity/Q18356947","Award","In 2017, the Maureen Molloy Prize in Clinical Neuropsychology was established at University of Melbourne as an award for the student with the highest average mark in the Master of Psychology (Clinical Neuropsychology) degree."
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"award","award received","lifetime achievement award","http://www.wikidata.org/entity/Q105727509","Award","In 2004 he was named R&amp;D Scientist of the Year by R&amp;D Magazine, he received the Einstein award from the Global Business Leadership Council (2006), the Scrip Lifetime Achievement award voted by the leadership of the global pharmaceutical industry (2009) and the ArizonaBioindustry Association Pioneer Award (2016)."
"djerassi","http://www.wikidata.org/entity/Q78608","Person",NULL,"award","award received","nobel prize","http://www.wikidata.org/entity/Q7191","Award","Djerassi won numerous awards during his career including:An award that eluded Djerassi was the Nobel Prize, where he is considered one of the more notable ""snubs"" by the Nobel Committee."
"barry marshall","http://www.wikidata.org/entity/Q202136","Person",NULL,"award","award received","medal","http://www.wikidata.org/entity/Q38593919","Award","Barry Marshall was awarded the Albert Lasker Award for Clinical Science in 1995 and the Buchanan Medal in 1998."
"mary verghese","http://www.wikidata.org/entity/Q6780883","Person",NULL,"award","award received","president","http://www.wikidata.org/entity/Q61061","Award","In recognition of her contributions to medicine, in particular, to the field of physical rehabilitation in India, Mary Verghese was awarded the Padma Shri by the then President of India, Shri."
"galyna mykhailiuk","http://www.wikidata.org/entity/Q66809997","Person",NULL,"award","award received","president","http://www.wikidata.org/entity/Q61061","Award","On 23 August 2021, President of Ukraine Volodymyr Zelensky signed Decree No. 406/2021, according to which Galyna Mykhailiuk was awarded the honorary title Honoured Lawyer of Ukraine."
"aisha abubakar abdulwahab","http://www.wikidata.org/entity/Q22674453","Person",NULL,"award","award received","fellowship award","http://www.wikidata.org/entity/Q20006438","Award","Dr. Aisha Abubakar Abdulwahab (born c.1971) was a Nigeria policewoman who won a UNESCO fellowship award to study tuberculosis."
"griffin","http://www.wikidata.org/entity/Q1423956","Person",NULL,"award","award received","award","http://www.wikidata.org/entity/Q66744316","Award","Previous recipients of the Jean E. Griffith Mentoring Award are:2003 - Richard D. Allen (National Agricultural Statistics Service)&lt;br&gt;2004 - Beth A Kilss (Internal Revenue Service)&lt;br&gt;2005 - Renee Miller (Energy Information Administration)&lt;br&gt;2006 - Martin O'Connell (U.S. Census Bureau)&lt;br&gt;2007 - Stephanie Shipp (National Institute of Standards and Technology)&lt;br&gt;2008 - Rosemary Marcuss (Bureau of Economic Analysis)&lt;br&gt;2009 - Kevin Cecco (Internal Revenue Service) and Lillian Lin (Centers for Disease Control and Prevention)&lt;br&gt;2010 - Deborah H. Griffin (U.S. Census Bureau)&lt;br&gt;2011 - Jenise L. Swall (U.S. Environmental Protection Agency)&lt;br&gt;2012 - William P. Mockovak (Bureau of Labor Statistics)&lt;br&gt;2013 - Brian Harris-Kojetin (Office of Management and Budget)&lt;br&gt;2014 - J. Gregory Robinson (U.S. Census Bureau) and Kenneth C. Schoendorf (National Center for Health Statistics)&lt;br&gt;2015 - Aldo ""Skip"" Vecchia (U.S. Geolog"
"maureen molloy","http://www.wikidata.org/entity/Q98381520","Person",NULL,"award","award received","master","http://www.wikidata.org/entity/Q96678236","Award","In 2017, the Maureen Molloy Prize in Clinical Neuropsychology was established at University of Melbourne as an award for the student with the highest average mark in the Master of Psychology (Clinical Neuropsychology) degree."
"tahmasib hossein ajdarov","http://www.wikidata.org/entity/Q64607858","Person",NULL,"award","award received","doctor","http://www.wikidata.org/entity/Q96633923","Award","According to Decree Dated 2002 of the Supreme Attestation Commission of Ukraine, Tahmasib Hossein Ajdarov was awarded with the academic degree of Doctor of Economics."
"glover","http://www.wikidata.org/entity/Q23305067","Person",NULL,"award","award received","medal","http://www.wikidata.org/entity/Q131647","Award","In 2010, Glover was awarded the Bicentenary Medal of the Linnean Society."
"eight","http://www.wikidata.org/entity/Q4530108","Person",NULL,"award","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","Eight years later, he was appointed the sixth president of SDSU.During his tenure, Day was credited with turning SDSU into a major public research university on par with the University of California system by increasing grants and research awards."
