"ent_str","ent_id","ent_type","count"
"victor","http://www.wikidata.org/entity/Q18560095","Award",100
"physicians","http://www.wikidata.org/entity/Q15924224","Profession",100
"maria","http://www.wikidata.org/entity/Q27602","Language",99
"maria","http://www.wikidata.org/entity/Q3448673","Language",99
"captain britain","http://www.wikidata.org/entity/Q2405949","Person",98
"candidate","http://www.wikidata.org/entity/Q2383393","Award",98
"latin","http://www.wikidata.org/entity/Q397","Language",97
"research fellow","http://www.wikidata.org/entity/Q1706722","Profession",96
"stars","http://www.wikidata.org/entity/Q15982595","Profession",95
"brazil","http://www.wikidata.org/entity/Q155","Country",95
"britain","http://www.wikidata.org/entity/Q145","Country",95
"mayor","http://www.wikidata.org/entity/Q1339249","Profession",95
"azerbaijan","http://www.wikidata.org/entity/Q227","Country",94
"italian","http://www.wikidata.org/entity/Q652","Language",94
"nobel prize","http://www.wikidata.org/entity/Q7191","Award",93
"commander","http://www.wikidata.org/entity/Q524980","Award",92
"commander","http://www.wikidata.org/entity/Q5152182","Profession",92
"polish","http://www.wikidata.org/entity/Q809","Language",92
"johns hopkins","http://www.wikidata.org/entity/Q193727","Language",92
"candidate","http://www.wikidata.org/entity/Q2878144","Award",91
"commercial","http://www.wikidata.org/entity/Q2986261","Profession",91
"pilot","http://www.wikidata.org/entity/Q2095549","Profession",90
"pilot","http://www.wikidata.org/entity/Q475604","Profession",90
"islands","http://www.wikidata.org/entity/Q189","Country",90
"factors","http://www.wikidata.org/entity/Q56599002","Profession",89
"factors","http://www.wikidata.org/entity/Q323336","Profession",89
"factors","http://www.wikidata.org/entity/Q104483142","Profession",89
"united kingdom","http://www.wikidata.org/entity/Q145","Country",88
"stanford university","http://www.wikidata.org/entity/Q41506","Language",88
"italy","http://www.wikidata.org/entity/Q38","Country",87
"companions","http://www.wikidata.org/entity/Q5155473","Profession",87
"style","http://www.wikidata.org/entity/Q5767753","Award",87
"dutch","http://www.wikidata.org/entity/Q7411","Language",87
"new york","http://www.wikidata.org/entity/Q1475413","Language",86
"directors","http://www.wikidata.org/entity/Q2824523","Profession",86
"directors","http://www.wikidata.org/entity/Q2493761","Profession",86
"directors","http://www.wikidata.org/entity/Q3387717","Profession",86
"directors","http://www.wikidata.org/entity/Q1162163","Profession",86
"directors","http://www.wikidata.org/entity/Q5280518","Profession",86
"intellectual","http://www.wikidata.org/entity/Q58968","Profession",86
"directors","http://www.wikidata.org/entity/Q2526255","Profession",86
"directors","http://www.wikidata.org/entity/Q3455803","Profession",86
"visiting professor","http://www.wikidata.org/entity/Q28692568","Profession",85
"miller","http://www.wikidata.org/entity/Q694116","Profession",84
"armstrong","http://www.wikidata.org/entity/Q4793919","Language",83
"high evolutionary","http://www.wikidata.org/entity/Q2568013","Person",83
"united states","http://www.wikidata.org/entity/Q30","Country",83
"doctors","http://www.wikidata.org/entity/Q34358","Person",82
"doctors","http://www.wikidata.org/entity/Q4618975","Profession",82
"bumblebees","http://www.wikidata.org/entity/Q2893593","Person",82
"professor emeritus","http://www.wikidata.org/entity/Q30878990","Award",82
"doctors","http://www.wikidata.org/entity/Q4618975","Award",82
"degrees","http://www.wikidata.org/entity/Q189533","Award",81
"japan","http://www.wikidata.org/entity/Q17","Country",81
"eastern","http://www.wikidata.org/entity/Q1278206","Language",81
"eastern","http://www.wikidata.org/entity/Q1278152","Language",81
"degrees","http://www.wikidata.org/entity/Q6008527","Award",81
"literary","http://www.wikidata.org/entity/Q6673651","Profession",78
"man-bat","http://www.wikidata.org/entity/Q1471053","Person",78
"nobel","http://www.wikidata.org/entity/Q7191","Award",77
"teachers","http://www.wikidata.org/entity/Q37226","Profession",77
"teachers","http://www.wikidata.org/entity/Q974144","Profession",77
"switzerland","http://www.wikidata.org/entity/Q39","Country",77
"motor","http://www.wikidata.org/entity/Q36453","Language",76
"resident","http://www.wikidata.org/entity/Q19973930","Profession",76
"knight","http://www.wikidata.org/entity/Q102083","Profession",76
